ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOCFPO23N000000100,시니어,문화시설,전통찻집민정,47,경상북도,47130,경주시,4713010500,황오동,471303305047,경상북도 경주시 원화로 222 (황오동),경상북도 경주시 황오동 100-4,"222 Wonhwa-ro, Gyeongju-si, Gyeongsangbuk-do",4713010500,,4713010500101000000000000,,38160,-,35.84039976,129.2177547,공공데이터,-,20231231,20231231
KCOCFPO23N000000101,시니어,문화시설,아라온전통찻집,47,경상북도,47190,구미시,4719025024,이문리,471904724490,경상북도 구미시 선산읍 선주로10길 11-1,경상북도 구미시 선산읍 이문리 4-10,"11-1 Seonju-ro10-gil, Seonsan-eup, Gumi-si, Gyeongsangbuk-do",4719025024,,4719025024100040000000000,,39124,-,36.24253262,128.2947864,공공데이터,-,20231231,20231231
KCOCFPO23N000000102,시니어,문화시설,전통찻집,47,경상북도,47190,구미시,4719011100,신평동,471904724570,경상북도 구미시 신비로1길 2 (신평동),경상북도 구미시 신평동 70-267,"2 Sinbi-ro 1-gil, Gumi-si, Gyeongsangbuk-do",4719011100,,4719011100100700000000000,,39251,-,36.12327763,128.3636854,공공데이터,-,20231231,20231231
KCOCFPO23N000000103,시니어,문화시설,꽃마실전통찻집,47,경상북도,47150,김천시,4715035031,광덕리,471503018010,경상북도 김천시 감문면 삼원로 205-23,경상북도 김천시 감문면 광덕리 1457,"205-23 Samwon-ro, Gammun-myeon, Gimcheon-si, Gyeongsangbuk-do",4715035031,,4715035031114570000000000,,39510,-,36.23234874,128.1932906,공공데이터,-,20231231,20231231
KCOCFPO23N000000104,시니어,문화시설,이서전통찻집,47,경상북도,47820,청도군,4782034044,학산리,478204757497,경상북도 청도군 이서면 학산길 53,경상북도 청도군 이서면 학산리 203-2,"53 Haksan-gil, Iseo-myeon, Cheongdo-gun, Gyeongsangbuk-do",4782034044,,4782034044102030000000000,,38317,-,35.66513308,128.6676092,공공데이터,-,20231231,20231231
KCOCFPO23N000000105,시니어,문화시설,전통찻집예사랑,29,광주광역시,29200,광산구,2920011600,쌍암동,292004289554,광주광역시 광산구 임방울대로825번길 21 (쌍암동),광주광역시 광산구 쌍암동 682-4,"21 Imbangul-daero 825beon-gil, Gwangsan-gu, Gwangju",2920011600,,2920011600106820000000000,,62275,-,35.21871444,126.8485217,공공데이터,-,20231231,20231231
KCOCFPO23N000000106,시니어,문화시설,보리수전통찻집,29,광주광역시,29110,동구,2911011100,지산동,291104277112,광주광역시 동구 밤실로43번길 23-1 (지산동),광주광역시 동구 지산동 342-98,"23-1 Bamsil-ro 43beon-gil, Dong-gu, Gwangju",2911011100,,2911011100103420000000000,,61441,-,35.15157184,126.9341222,공공데이터,-,20231231,20231231
KCOCFPO23N000000107,시니어,문화시설,지연이네전통찻집,29,광주광역시,29110,동구,2911010100,대인동,291104277181,광주광역시 동구 제봉로194번길 3 (대인동),광주광역시 동구 대인동 312-10,"3 Jebong-ro 194beon-gil, Dong-gu, Gwangju",2911010100,,2911010100103120000000000,,61427,-,35.15376794,126.9163117,공공데이터,-,20231231,20231231
KCOCFPO23N000000108,시니어,문화시설,파로호전통찻집,51,강원특별자치도,51790,화천군,5179025021,아리,517903231026,강원특별자치도 화천군 화천읍 평화로 169,강원특별자치도 화천군 화천읍 아리 94-3 다가서다,"169 Pyeonghwa-ro, Hwacheon-eup, Hwacheon-gun, Gangwon-do",5179025021,다가서다,4279025021000000000000000,,24132,-,38.09638796,127.7259282,공공데이터,-,20231231,20231231
KCOCFPO23N000000109,시니어,문화시설,전통찻집,27,대구광역시,27140,동구,2714010300,효목동,271403142045,대구광역시 동구 효서로 46 (효목동),대구광역시 동구 효목동 370-8,"46 Hyoseo-ro, Dong-gu, Daegu",2714010300,,2714010300103700000000000,,41233,-,35.87835702,128.6377355,공공데이터,-,20231231,20231231
KCOCFPO23N000000110,시니어,문화시설,교동커피전통찻집,27,대구광역시,27110,중구,2711012500,교동,271104223013,대구광역시 중구 교동4길 5 (교동),대구광역시 중구 교동 46-9,"5 Gyodong 4-gil, Jung-gu, Daegu",2711012500,,2711012500100460000000000,,41910,-,35.87367939,128.5996726,공공데이터,-,20231231,20231231
KCOCFPO23N000000111,시니어,문화시설,미담전통찻집,30,대전광역시,30230,대덕구,3023010900,중리동,302303168029,대전광역시 대덕구 중리로 51 (중리동),대전광역시 대덕구 중리동 384-5,"51 Jungni-ro, Daedeok-gu, Daejeon",3023010900,,3023010900103840000000000,,34391,-,36.36364177,127.4249909,공공데이터,-,20231231,20231231
KCOCFPO23N000000112,시니어,문화시설,다원전통찻집,41,경기도,41281,고양시 덕양구,4128110100,주교동,412814376091,경기도 고양시 덕양구 마상로114번길 28 (주교동),경기도 고양시 덕양구 주교동 583-18,"28 Masang-ro 114beon-gil, Deogyang-gu, Goyang-si, Gyeonggi-do",4128110100,,4128110100105830000000000,,10459,-,37.65957378,126.8347721,공공데이터,-,20231231,20231231
KCOCFPO23N000000113,시니어,문화시설,전통찻집다향,,대전광역시,,중구,3014011500,유천동,,대전광역시 중구 계백로 1552,,,,,,,,-,36.31692739,127.3926678,공공데이터,-,20231231,20231231
KCOCFPO23N000000114,시니어,문화시설,그린샘전통찻집,30,대전광역시,30140,중구,3014011500,유천동,301404295038,대전광역시 중구 계백로1583번길 68 (유천동),대전광역시 중구 유천동 317-57,"68 Gyebaek-ro 1583beon-gil, Jung-gu, Daejeon",3014011500,,3014011500103170000000000,,34887,-,36.32102644,127.3949953,공공데이터,-,20231231,20231231
KCOCFPO23N000000115,시니어,문화시설,포랑산전통찻집,26,부산광역시,26710,기장군,2671025622,매학리,267103140004,부산광역시 기장군 정관읍 구연1로 5-5,부산광역시 기장군 정관읍 매학리 770-8,"5-5 Guyeon 1-ro, Jeonggwan-eup, Gijang-gun, Busan",2671025622,,2671032025107120000000000,,46023,-,35.32024346,129.1834813,공공데이터,-,20231231,20231231
KCOCFPO23N000000116,시니어,문화시설,전통찻집달마,26,부산광역시,26170,동구,2617010100,초량동,261704181520,부산광역시 동구 초량로100번길 25 (초량동),부산광역시 동구 초량동 827-5,"25 Choryang-ro 100beon-gil, Dong-gu, Busan",2617010100,,2617010100108270000000000,,48805,-,35.12057127,129.0337084,공공데이터,-,20231231,20231231
