ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADIT_DC
KCOCFPO23N000001133,문화시설,옥수웰빙사우나,서울,성동구,서울특별시 성동구 독서당로 184,서울 성동구 옥수동 559,할인적용최소연령 : 70
KCOCFPO23N000001135,문화시설,유경헤어라운지,서울,성동구,서울특별시 성동구 금호로 102,서울 성동구 금호동1가 633,할인적용최소연령 : 70
KCOCFPO23N000001139,문화시설,공윤성뷰티하우스,서울,성동구,서울특별시 성동구 성수일로10길 33,서울 성동구 성수동2가 289-27,할인적용최소연령 : 70
KCOCFPO23N000001208,문화시설,행운,서울,성동구,"서울특별시 성동구 성덕정길 84,지상1층 (성수동2가)",서울 성동구 성수동2가 506,할인적용최소연령 : 70
KCOCFPO23N000001213,문화시설,세련헤어,서울,성동구,서울특별시 성동구 성덕정길 33,서울 성동구 성수동1가 95,할인적용최소연령 : 70
KCOCFPO23N000001296,문화시설,아이핏 안경 콘택트,서울,영등포구,서울특별시 영등포구 당산로 34,서울 영등포구 문래동3가 55-5,할인적용최소연령 : 65
KCOCFPO23N000001302,문화시설,열린안경,서울,영등포구,서울특별시 영등포구 선유로 71,서울 영등포구 문래동6가 8,할인적용최소연령 : 65
KCOCFPO23N000001309,문화시설,카페 오가닉,서울,영등포구,서울특별시 영등포구 당산로 34,서울 영등포구 문래동3가 55-5,할인적용최소연령 : 65
KCOCFPO23N000001310,문화시설,로데오 노래방,서울,영등포구,서울특별시 영등포구 당산로 34,서울 영등포구 문래동3가 55-5,할인적용최소연령 : 65
KCOCFPO23N000001315,문화시설,쉐프조,서울,영등포구,서울특별시 영등포구 문래로 98,서울 영등포구 문래동3가 77-8,할인적용최소연령 : 65
KCOCFPO23N000001320,문화시설,닥터(Dr.)유 안경원,서울,광진구,서울특별시 광진구 구의강변로 102,서울 광진구 구의동 199-23,할인적용최소연령 : 65
KCOCFPO23N000001361,문화시설,티엠안경원,서울,광진구,서울특별시 광진구 광나루로56길 85,서울 광진구 구의동 546-4,할인적용최소연령 : 65
KCOCFPO23N000001379,문화시설,에뿌즈플라워,서울,영등포구,서울특별시 영등포구 당산로 163,서울 영등포구 당산동4가 40,할인적용최소연령 : 65
KCOCFPO23N000001488,문화시설,닥터부동산,서울,영등포구,서울특별시 영등포구 당산로29길 1,서울 영등포구 당산동3가 398-1,할인적용최소연령 : 65
KCOCFPO23N000001498,문화시설,용가리노래방,서울,영등포구,서울특별시 영등포구 당산로47길 8,서울 영등포구 당산동6가 314,할인적용최소연령 : 65
KCOCFPO23N000001567,문화시설,스타일헤어,서울,영등포구,서울특별시 영등포구 영등포로 122,서울 영등포구 당산동2가 5-1,할인적용최소연령 : 65
KCOCFPO23N000001579,문화시설,동아천막사,서울,영등포구,서울특별시 영등포구 양산로 224,서울 영등포구 영등포동5가 137,할인적용최소연령 : 65
KCOCFPO23N000001581,문화시설,안안경,서울,영등포구,서울특별시 영등포구 은행로 29,서울 영등포구 여의도동 13-25,할인적용최소연령 : 65
KCOCFPO23N000001584,문화시설,다모아산채,서울,영등포구,서울특별시 영등포구 국회대로76길 18,서울 영등포구 여의도동 13-5,할인적용최소연령 : 65
KCOCFPO23N000001586,문화시설,여의도 양지탕,서울,영등포구,서울특별시 영등포구 국회대로70길 7,서울 영등포구 여의도동 14-2,할인적용최소연령 : 65
KCOCFPO23N000001652,문화시설,금산인삼,서울,영등포구,서울특별시 영등포구 영등포로 45길 28,서울 영등포구 영등포동2가 428,할인적용최소연령 : 65
KCOCFPO23N000001770,문화시설,양평해장국,서울,성동구,서울특별시 성동구 천호대로 274 (용답동),서울 성동구 용답동 103-8,할인적용최소연령 : 70
