ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOWRPO23N000014229,자연_공원,청계꿈나무,서울특별시,성동구,서울특별시 성동구 마장로 161 (하왕십리동),서울특별시 성동구 하왕십리동 1068 서울숭신초등학교
KCOWRPO23N000014230,자연_공원,뉴타운1구역,서울특별시,성동구,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐)",서울특별시 성동구 상왕십리동 811 텐즈힐
KCOWRPO23N000014231,자연_공원,뉴타운2구역,서울특별시,성동구,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐)",서울특별시 성동구 상왕십리동 811 텐즈힐
KCOWRPO23N000014232,자연_공원,왕십리 KCC스위첸,서울특별시,성동구,"서울특별시 성동구 무학봉길 35 (하왕십리동, 왕십리KCC스위첸)",서울특별시 성동구 하왕십리동 1002 왕십리KCC스위첸
KCOWRPO23N000014233,자연_공원,매봉,서울특별시,성동구,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)",서울특별시 성동구 옥수동 528 이편한세상옥수파크힐스
KCOWRPO23N000014234,자연_공원,옥정,서울특별시,성동구,서울특별시 성동구 매봉길 21 (옥수동),서울특별시 성동구 옥수동 564 서울성동지역자활센터
KCOWRPO23N000014235,자연_공원,금남,서울특별시,성동구,서울특별시 성동구 금호산8길 13 (금호동3가),서울특별시 성동구 금호동3가 700 금호자이2차
KCOWRPO23N000014236,자연_공원,금옥,서울특별시,성동구,"서울특별시 성동구 금호로 117 (금호동2가, 금호자이1차)",서울특별시 성동구 금호동2가 1215 금호자이1차
KCOWRPO23N000014237,자연_공원,장미,서울특별시,성동구,서울특별시 성동구 동일로 227 (송정동),서울특별시 성동구 송정동 2-7 다사와공구
KCOWRPO23N000014239,자연_공원,청송,서울특별시,성동구,서울특별시 성동구 아차산로9길 20 (성수동2가),서울특별시 성동구 성수동2가 277-24
KCOWRPO23N000014240,자연_공원,동부,서울특별시,성동구,"서울특별시 성동구 왕십리로6길 30 (성수동1가, 현대골든타운)",서울특별시 성동구 성수동1가 656-1824 현대골든타운
KCOWRPO23N000014241,자연_공원,전관원,서울특별시,성동구,서울특별시 성동구 살곶이길 327 (행당동),서울특별시 성동구 행당동 378 4차 산업혁명 체험센터
KCOWRPO23N000014242,자연_공원,꽃재,서울특별시,성동구,서울특별시 성동구 마장로 161 (하왕십리동),서울특별시 성동구 하왕십리동 1068 서울숭신초등학교
KCOWRPO23N000014243,자연_공원,논골새싹,서울특별시,성동구,서울특별시 성동구 난계로 56 (행당동),서울특별시 성동구 행당동 347-2 행당동 대림아파트
KCOWRPO23N000014244,자연_공원,금동,서울특별시,성동구,서울특별시 성동구 무수막길 16 (금호동2가),서울특별시 성동구 금호동2가 1192-1 서연피아노
KCOWRPO23N000014245,자연_공원,살구골,서울특별시,성동구,"서울특별시 성동구 고산자로 177 (행당동, 서울숲행당푸르지오아파트)",서울특별시 성동구 행당동 376 서울숲행당푸르지오아파트
KCOWRPO23N000014246,자연_공원,도선,서울특별시,성동구,서울특별시 성동구 무학로8길 8 (홍익동),서울특별시 성동구 홍익동 369 도선동공영주차장
KCOWRPO23N000014247,자연_공원,도장골,서울특별시,성동구,"서울특별시 성동구 행당로 82 (행당동, 행당 한진타운)",서울특별시 성동구 행당동 346 행당 한진타운
KCOWRPO23N000014249,자연_공원,행당4구역,서울특별시,성동구,서울특별시 성동구 행당로6길 74 (행당동),서울특별시 성동구 행당동 376-2 천주교행당동성당
KCOWRPO23N000014371,자연_공원,새락골어린이공원,서울특별시,은평구,서울특별시 은평구 은평로3가길 34 (신사동),서울특별시 은평구 신사동 5-21
KCOWRPO23N000014372,자연_공원,갈곡리어린이공원,서울특별시,은평구,서울특별시 은평구 갈현로41길 3 (갈현동),서울특별시 은평구 갈현동 436-51 연신내지구대
KCOWRPO23N000014374,자연_공원,박석어린이공원,서울특별시,은평구,서울특별시 은평구 통일로89길 18-14 (갈현동),서울특별시 은평구 갈현동 416-3
KCOWRPO23N000014376,자연_공원,길마어린이공원,서울특별시,은평구,서울특별시 은평구 연서로21길 15 (갈현동),서울특별시 은평구 갈현동 474-1 모범경로당
KCOWRPO23N000014377,자연_공원,대조어린이공원,서울특별시,은평구,서울특별시 은평구 연서로18가길 16-21 (대조동),서울특별시 은평구 대조동 212-2 라온빌
KCOWRPO23N000014379,자연_공원,역말어린이공원,서울특별시,은평구,"서울특별시 은평구 연서로 47-1 (역촌동, 역촌빌라)",서울특별시 은평구 역촌동 63-5 역촌빌라
KCOWRPO23N000014380,자연_공원,역마을어린이공원,서울특별시,은평구,서울특별시 은평구 진흥로1길 9 (역촌동),서울특별시 은평구 역촌동 39-2
KCOWRPO23N000014381,자연_공원,연서어린이공원,서울특별시,은평구,서울특별시 은평구 연서로6길 8-1 (역촌동),서울특별시 은평구 역촌동 32-36 연서어린이공원화장실
KCOWRPO23N000014382,자연_공원,시루메어린이공원,서울특별시,은평구,서울특별시 은평구 증산로5길 13 (증산동),서울특별시 은평구 증산동 185-1
