ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOEFPO23N000000681,문화시설_교육_시니어,제일평생교육원,서울특별시,영등포구,서울특별시 영등포구 경인로 775 (문래동3가),서울특별시 영등포구 문래동3가 55-20 에이스하이테크시티
KCOEFPO23N000000695,문화시설_교육_시니어,한길평생교육원,서울특별시,강북구,서울특별시 강북구 도봉로 229 (미아동),서울특별시 강북구 미아동 203-5
KCOEFPO23N000000697,문화시설_교육_시니어,한일평생교육원,서울특별시,도봉구,서울특별시 도봉구 도봉로 911 (도봉동),서울특별시 도봉구 도봉동 560-14
KCOEFPO23N000000702,문화시설_교육_시니어,백석사이버평생교육원,서울특별시,성동구,서울특별시 성동구 천호대로 328 (용답동),서울특별시 성동구 용답동 5-3 금관빌딩
KCOEFPO23N000000705,문화시설_교육_시니어,서울디지털평생교육원,서울특별시,마포구,서울특별시 마포구 마포대로 63-8 (도화동),서울특별시 마포구 도화동 173 삼창주택
KCOEFPO23N000000706,문화시설_교육_시니어,성균관원격평생교육원,서울특별시,영등포구,서울특별시 영등포구 국제금융로 20 (여의도동),서울특별시 영등포구 여의도동 24-1 율촌빌딩
KCOEFPO23N000000715,문화시설_교육_시니어,스마트원격평생교육원,서울특별시,성북구,서울특별시 성북구 동소문로 54 (동소문동3가),서울특별시 성북구 동소문동3가 66 대아빌딩
KCOEFPO23N000000716,문화시설_교육_시니어,유비온원격평생교육원,서울특별시,구로구,서울특별시 구로구 디지털로34길 27 (구로동),서울특별시 구로구 구로동 182-4 대륭포스트타워3차
KCOEFPO23N000000724,문화시설_교육_시니어,준에듀원격평생교육원,서울특별시,영등포구,서울특별시 영등포구 도신로4길 19 (대림동),서울특별시 영등포구 대림동 783-11
KCOEFPO23N000000725,문화시설_교육_시니어,패스업원격평생교육원,서울특별시,강동구,서울특별시 강동구 천호대로170길 51 (성내동),서울특별시 강동구 성내동 384 금강빌딩
KCOEFPO23N000000726,문화시설_교육_시니어,고윙에듀원격평생교육원,서울특별시,성동구,서울특별시 성동구 고산자로 281 (홍익동),서울특별시 성동구 홍익동 131-1
KCOEFPO23N000000730,문화시설_교육_시니어,나임발도르프평생교육원,서울특별시,마포구,서울특별시 마포구 독막로 230 (신수동),서울특별시 마포구 신수동 47-17
KCOEFPO23N000000737,문화시설_교육_시니어,MBC아카데미원격평생교육원,서울특별시,마포구,서울특별시 마포구 월드컵북로4길 71 (동교동),서울특별시 마포구 동교동 197-6
KCOEFPO23N000000739,문화시설_교육_시니어,통인아카데미평생교육원,서울특별시,서초구,서울특별시 서초구 양재대로12길 36 (양재동),서울특별시 서초구 양재동 223 양곡도매시장
KCOEFPO23N000000740,문화시설_교육_시니어,한국복지진흥평생교육원,서울특별시,종로구,"서울특별시 종로구 삼일대로32길 36 (익선동, 운현신화타워)",서울특별시 종로구 익선동 30-6 운현신화타워
KCOEFPO23N000000743,문화시설_교육_시니어,한국방송통신대학교평생교육원,서울특별시,종로구,서울특별시 종로구 대학로 86 (동숭동),서울특별시 종로구 동숭동 169-1 한국방송통신대학
KCOEFPO23N000000744,문화시설_교육_시니어,한양여자대학교원격평생교육원,서울특별시,성동구,서울특별시 성동구 왕십리로 222 (사근동),서울특별시 성동구 사근동 110 한양대학교
