ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOEFPO23N000000578,문화시설,문화시설_교육_시니어,한국자격평생교육원,11,서울특별시,11110,종로구,1111017100,,111104100545,서울특별시 종로구 혜화로3길 19 (명륜2가),서울특별시 종로구 명륜2가 4 아남아파트,"19 Hyehwa-ro 3-gil, Jongno-gu, Seoul",1111017100,아남아파트,1111017100100040000008766,,03075,,37.58611777,126.9992191,문화정보원,-,20231231,20231231
KCOEFPO23N000000579,문화시설,문화시설_교육_시니어,한국학점평생교육원,11,서울특별시,11650,서초구,1165010600,,116503121017,서울특별시 서초구 신반포로 325 (잠원동),서울특별시 서초구 잠원동 40-7 반포빌딩,"325 Sinbanpo-ro, Seocho-gu, Seoul",1165010600,반포빌딩,1165010600100400008019535,,06531,,37.51070818,127.0192633,문화정보원,-,20231231,20231231
KCOEFPO23N000000580,문화시설,문화시설_교육_시니어,한세에듀평생교육원,41,경기도,41113,수원시 권선구,4111313500,,411133175017,경기도 수원시 권선구 매곡로 36-10 (호매실동),경기도 수원시 권선구 호매실동 469-7,"36-10 Maegok-ro, Gwonseon-gu, Suwon-si, Gyeonggi-do",4111313500,,4111313500104690007000001,,16399,,37.26903929,126.9524623,문화정보원,-,20231231,20231231
KCOEFPO23N000000581,문화시설,문화시설_교육_시니어,한울원격평생교육원,11,서울특별시,11650,서초구,1165010800,,116504163432,서울특별시 서초구 서초대로73길 12 (서초동),서울특별시 서초구 서초동 1317-31 세계빌딩,"12 Seocho-daero 73-gil, Seocho-gu, Seoul",1165010800,세계빌딩,1165010800113170032020012,,06615,,37.49858023,127.0258419,문화정보원,-,20231231,20231231
KCOEFPO23N000000582,문화시설,문화시설_교육_시니어,한일원격평생교육원,45,전북특별자치도,45710,완주군,4571032021,신리,527103273057,전북특별자치도 완주군 상관면 왜목로 726-15,전북특별자치도 완주군 상관면 신리 694-1 한일장신대학교,"726-15 Waemok-ro, Sanggwan-myeon, Wanju-gun, Jeonbuk-do",5271032021,한일장신대학교,4571032021400000015006733,,55359,,35.7630041,127.2068287,문화정보원,-,20231231,20231231
KCOEFPO23N000000583,문화시설,문화시설_교육_시니어,함양맞춤평생교육원,48,경상남도,48870,함양군,4887025022,용평리,488703346023,경상남도 함양군 함양읍 한들로 93-1,경상남도 함양군 함양읍 용평리 595-49,"93-1 Handeul-ro, Hamyang-eup, Hamyang-gun, Gyeongsangnam-do",4887025022,,4887025022105950049010078,,50046,,35.51578546,127.7296756,문화정보원,-,20231231,20231231
KCOEFPO23N000000584,문화시설,문화시설_교육_시니어,해밀원격평생교육원,11,서울특별시,11230,동대문구,1123010200,,112303105008,서울특별시 동대문구 왕산로 122 (용두동),서울특별시 동대문구 용두동 788 한방천하 용두동 포스빌,"122 Wangsan-ro, Dongdaemun-gu, Seoul",1123010200,한방천하 용두동 포스빌,1123010200100510004039014,,02566,,37.57786881,127.0369228,문화정보원,-,20231231,20231231
KCOEFPO23N000000585,문화시설,문화시설_교육_시니어,핵심인재평생교육원,45,전북특별자치도,45111,전주시 완산구,4511114000,,521113266053,전북특별자치도 전주시 완산구 용머리로 73 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 289-3 효자프라자,"73 Yongmeori-ro, Wansan-gu, Jeonju-si, Jeonbuk-do",5211114000,효자프라자,4511114000102890003013461,,55054,,35.80701527,127.118147,문화정보원,-,20231231,20231231
KCOEFPO23N000000586,문화시설,문화시설_교육_시니어,화도위드평생교육원,41,경기도,41360,남양주시,4136025621,마석우리,413603197024,경기도 남양주시 화도읍 맷돌로 112,경기도 남양주시 화도읍 마석우리 383-4 캠퍼스프라자,"112 Maetdol-ro, Hwado-eup, Namyangju-si, Gyeonggi-do",4136025621,캠퍼스프라자,4136025621103830004000774,,12175,,37.65748303,127.3025127,문화정보원,-,20231231,20231231
KCOEFPO23N000000587,문화시설,문화시설_교육_시니어,APM평생교육원,51,강원특별자치도,51130,원주시,5113025026,건등리,511303219041,강원특별자치도 원주시 문막읍 원문로 1648,강원특별자치도 원주시 문막읍 건등리 318,"1648 Wonmun-ro, Munmak-eup, Wonju-si, Gangwon-do",5113025026,,4213025026103170000028187,,26371,,37.31817368,127.8297128,문화정보원,-,20231231,20231231
KCOEFPO23N000000588,문화시설,문화시설_교육_시니어,BLT평생교육원,41,경기도,41410,군포시,4141010200,,414103012052,경기도 군포시 고산로 144 (당정동),경기도 군포시 당정동 447-4,"144 Gosan-ro, Gunpo-si, Gyeonggi-do",4141010200,,4141010200104470004000001,,15850,,37.3492738,126.9554872,문화정보원,-,20231231,20231231
KCOEFPO23N000000589,문화시설,문화시설_교육_시니어,CTM평생교육원,26,부산광역시,26170,동구,2617010100,,261703006001,부산광역시 동구 초량상로 102 (초량동),부산광역시 동구 초량동 132-1,"102 Choryangsang-ro, Dong-gu, Busan",2617010100,,2617010100101320001018617,,48797,,35.12063662,129.0394055,문화정보원,-,20231231,20231231
KCOEFPO23N000000590,문화시설,문화시설_교육_시니어,KAA평생교육원,11,서울특별시,11200,성동구,1120012200,,112004109510,서울특별시 성동구 자동차시장1길 70 (용답동),서울특별시 성동구 용답동 234 장안평중고자동차시장,"70 Jadongchasijang 1-gil, Seongdong-gu, Seoul",1120012200,장안평중고자동차시장,1120012200102340000027956,,04808,,37.56036229,127.0651809,문화정보원,-,20231231,20231231
KCOEFPO23N000000591,문화시설,문화시설_교육_시니어,KVA평생교육원,11,서울특별시,11680,강남구,1168010100,,116803121022,서울특별시 강남구 논현로 543 (역삼동),서울특별시 강남구 역삼동 607-20,"543 Nonhyeon-ro, Gangnam-gu, Seoul",1168010100,,1168010100106070020022400,,06126,,37.50475937,127.0347662,문화정보원,-,20231231,20231231
KCOEFPO23N000000592,문화시설,문화시설_교육_시니어,굿모닝평생교육원,11,서울특별시,11620,관악구,1162010100,,116202000003,서울특별시 관악구 남부순환로 1750 (봉천동),서울특별시 관악구 봉천동 922-2,"1750 Nambusunhwan-ro, Gwanak-gu, Seoul",1162010100,,1162010100109220002028208,,08785,,37.48187332,126.944444,문화정보원,-,20231231,20231231
KCOEFPO23N000000593,문화시설,문화시설_교육_시니어,굿퍼닝평생교육원,41,경기도,41390,시흥시,4139013200,,413903199047,경기도 시흥시 정왕천로 377 (정왕동),경기도 시흥시 정왕동 1566-5 금성빌딩,"377 Jeongwangcheon-ro, Siheung-si, Gyeonggi-do",4139013200,금성빌딩,4139013200115660005014531,,15058,,37.34204001,126.749579,문화정보원,-,20231231,20231231
